OrderID,OrderDate,Branch,City,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Payment,Total,COGS,GrossIncome,GrossMargin%,Rating
ORD1000,2024-01-01,C,Guadalajara,New,Female,Audio,1301.83,2,Cash,2603.66,1955.02,648.6399999999999,24.91,6.1
ORD1001,2024-01-02,A,Guadalajara,New,Male,Laptop,802.67,2,Cash,1605.34,1205.41,399.92999999999984,24.91,7.9
ORD1002,2024-01-03,C,Monterrey,New,Female,Accessories,744.81,4,Cash,2979.24,2237.03,742.2099999999996,24.91,4.7
ORD1003,2024-01-04,C,Guadalajara,New,Female,Gaming,87.18,3,Cash,261.54,196.38,65.16000000000003,24.91,9.3
ORD1004,2024-01-05,A,Mexico City,Returning,Male,Smartphone,544.81,3,Cash,1634.43,1227.25,407.18000000000006,24.91,7.0
ORD1005,2024-01-06,A,Mexico City,New,Female,TV,601.28,3,Cash,1803.84,1354.46,449.3799999999999,24.91,6.7
ORD1006,2024-01-07,C,Mexico City,Returning,Male,Smartphone,628.29,4,Ewallet,2513.16,1887.06,626.0999999999999,24.91,7.5
ORD1007,2024-01-08,B,Monterrey,Returning,Male,TV,891.25,2,Cash,1782.5,1338.43,444.06999999999994,24.91,7.7
ORD1008,2024-01-09,C,Guadalajara,New,Female,Laptop,823.72,4,Credit Card,3294.88,2474.04,820.8400000000001,24.91,4.4
ORD1009,2024-01-10,C,Mexico City,Returning,Male,Audio,931.46,2,Cash,1862.92,1398.82,464.10000000000014,24.91,8.1
ORD1010,2024-01-11,C,Monterrey,Returning,Female,Laptop,1159.08,4,Cash,4636.32,3481.29,1155.0299999999997,24.91,5.5
ORD1011,2024-01-12,C,Guadalajara,Returning,Female,Accessories,1228.83,4,Ewallet,4915.32,3690.78,1224.5399999999995,24.91,8.3
ORD1012,2024-01-13,A,Monterrey,Returning,Male,Accessories,1091.28,2,Ewallet,2182.56,1638.83,543.73,24.91,8.9
ORD1013,2024-01-14,C,Mexico City,New,Male,TV,1435.51,3,Credit Card,4306.53,3233.66,1072.87,24.91,8.8
ORD1014,2024-01-15,B,Mexico City,Returning,Male,Gaming,76.44,2,Credit Card,152.88,114.79,38.08999999999999,24.91,7.3
ORD1015,2024-01-16,A,Mexico City,New,Male,Gaming,333.88,1,Ewallet,333.88,250.7,83.18,24.91,7.1
ORD1016,2024-01-17,B,Monterrey,Returning,Female,TV,60.97,1,Ewallet,60.97,45.78,15.189999999999998,24.91,4.9
ORD1017,2024-01-18,B,Monterrey,Returning,Female,Accessories,988.84,2,Cash,1977.68,1484.99,492.69000000000005,24.91,8.7
ORD1018,2024-01-19,B,Mexico City,New,Male,Accessories,1352.14,4,Ewallet,5408.56,4061.14,1347.4200000000005,24.91,5.6
ORD1019,2024-01-20,B,Monterrey,Returning,Female,Accessories,403.05,1,Credit Card,403.05,302.64,100.41000000000003,24.91,7.0
ORD1020,2024-01-21,A,Mexico City,Returning,Female,Laptop,1394.2,1,Cash,1394.2,1046.87,347.33000000000015,24.91,5.7
ORD1021,2024-01-22,A,Mexico City,Returning,Female,Accessories,137.39,4,Credit Card,549.56,412.65,136.90999999999997,24.91,4.8
ORD1022,2024-01-23,B,Guadalajara,New,Female,Smartphone,1404.93,4,Cash,5619.72,4219.7,1400.0200000000004,24.91,7.8
ORD1023,2024-01-24,B,Monterrey,Returning,Male,Audio,559.85,3,Ewallet,1679.55,1261.13,418.41999999999985,24.91,4.3
ORD1024,2024-01-25,A,Mexico City,New,Male,Accessories,197.06,4,Credit Card,788.24,591.87,196.37,24.91,8.5
ORD1025,2024-01-26,A,Mexico City,Returning,Female,TV,754.51,2,Cash,1509.02,1133.08,375.94000000000005,24.91,5.9
ORD1026,2024-01-27,A,Monterrey,New,Male,Audio,422.33,2,Cash,844.66,634.23,210.42999999999995,24.91,4.0
ORD1027,2024-01-28,C,Guadalajara,New,Male,Laptop,463.07,3,Ewallet,1389.21,1043.12,346.09000000000015,24.91,7.1
ORD1028,2024-01-29,C,Guadalajara,Returning,Male,TV,495.57,1,Ewallet,495.57,372.11,123.45999999999998,24.91,4.3
ORD1029,2024-01-30,C,Mexico City,Returning,Female,Audio,1214.39,1,Ewallet,1214.39,911.85,302.5400000000001,24.91,5.7
ORD1030,2024-01-31,B,Monterrey,New,Female,TV,831.78,4,Credit Card,3327.12,2498.25,828.8699999999999,24.91,8.2
ORD1031,2024-02-01,C,Guadalajara,New,Female,Laptop,501.4,2,Cash,1002.8,752.98,249.81999999999994,24.91,4.4
ORD1032,2024-02-02,B,Monterrey,Returning,Male,Smartphone,934.98,1,Ewallet,934.98,702.05,232.93000000000006,24.91,9.0
ORD1033,2024-02-03,B,Monterrey,New,Female,Laptop,1088.42,3,Credit Card,3265.26,2451.8,813.46,24.91,4.0
ORD1034,2024-02-04,C,Mexico City,Returning,Female,Laptop,445.3,3,Credit Card,1335.9,1003.09,332.81000000000006,24.91,5.5
ORD1035,2024-02-05,B,Guadalajara,Returning,Male,TV,649.65,2,Credit Card,1299.3,975.61,323.68999999999994,24.91,8.4
ORD1036,2024-02-06,C,Mexico City,Returning,Female,Gaming,226.73,3,Ewallet,680.19,510.74,169.45000000000005,24.91,5.9
ORD1037,2024-02-07,C,Guadalajara,Returning,Female,Accessories,312.67,3,Ewallet,938.01,704.33,233.67999999999995,24.91,4.6
ORD1038,2024-02-08,A,Guadalajara,New,Male,Accessories,1037.62,2,Cash,2075.24,1558.24,516.9999999999998,24.91,6.2
ORD1039,2024-02-09,C,Guadalajara,Returning,Male,Smartphone,313.09,4,Cash,1252.36,940.36,311.9999999999999,24.91,5.6
ORD1040,2024-02-10,A,Guadalajara,New,Male,Smartphone,811.49,4,Ewallet,3245.96,2437.3,808.6599999999999,24.91,9.1
ORD1041,2024-02-11,C,Guadalajara,Returning,Female,Accessories,1078.12,3,Credit Card,3234.36,2428.59,805.77,24.91,5.9
ORD1042,2024-02-12,C,Monterrey,New,Female,Gaming,204.97,4,Credit Card,819.88,615.63,204.25,24.91,8.7
ORD1043,2024-02-13,A,Mexico City,Returning,Female,Accessories,872.6,4,Credit Card,3490.4,2620.85,869.5500000000002,24.91,9.4
ORD1044,2024-02-14,A,Monterrey,New,Male,Gaming,422.02,3,Cash,1266.06,950.65,315.40999999999997,24.91,6.6
ORD1045,2024-02-15,C,Guadalajara,New,Male,Smartphone,1446.24,4,Credit Card,5784.96,4343.77,1441.1899999999996,24.91,9.5
ORD1046,2024-02-16,B,Mexico City,Returning,Female,Audio,751.14,3,Cash,2253.42,1692.03,561.3900000000001,24.91,6.3
ORD1047,2024-02-17,A,Guadalajara,Returning,Female,TV,1218.69,1,Cash,1218.69,915.08,303.61,24.91,9.8
ORD1048,2024-02-18,B,Mexico City,Returning,Male,Smartphone,847.83,2,Credit Card,1695.66,1273.23,422.43000000000006,24.91,4.5
ORD1049,2024-02-19,B,Monterrey,Returning,Male,Smartphone,112.95,2,Credit Card,225.9,169.62,56.28,24.91,8.1
ORD1050,2024-02-20,B,Mexico City,New,Male,Laptop,968.07,4,Ewallet,3872.28,2907.59,964.69,24.91,7.0
ORD1051,2024-02-21,A,Mexico City,Returning,Male,Laptop,1429.53,4,Ewallet,5718.12,4293.58,1424.54,24.91,6.3
ORD1052,2024-02-22,B,Mexico City,New,Female,Laptop,922.34,4,Credit Card,3689.36,2770.24,919.1200000000003,24.91,7.8
ORD1053,2024-02-23,A,Mexico City,New,Male,TV,1237.82,2,Cash,2475.64,1858.89,616.7499999999998,24.91,8.2
ORD1054,2024-02-24,B,Mexico City,Returning,Female,Laptop,1332.1,1,Cash,1332.1,1000.24,331.8599999999999,24.91,4.0
ORD1055,2024-02-25,C,Guadalajara,New,Female,Gaming,380.72,1,Cash,380.72,285.87,94.85000000000002,24.91,5.0
ORD1056,2024-02-26,C,Mexico City,New,Female,Accessories,357.47,2,Cash,714.94,536.83,178.11,24.91,8.3
ORD1057,2024-02-27,A,Mexico City,New,Male,Audio,935.92,1,Cash,935.92,702.76,233.15999999999997,24.91,8.0
ORD1058,2024-02-28,C,Monterrey,New,Male,Smartphone,645.99,2,Ewallet,1291.98,970.11,321.87,24.91,9.8
ORD1059,2024-02-29,C,Mexico City,Returning,Male,Gaming,1267.8,1,Credit Card,1267.8,951.96,315.8399999999999,24.91,8.6
ORD1060,2024-03-01,B,Monterrey,Returning,Male,Audio,1355.03,3,Ewallet,4065.09,3052.37,1012.7200000000003,24.91,9.7
ORD1061,2024-03-02,A,Guadalajara,Returning,Female,Gaming,562.46,3,Cash,1687.38,1267.01,420.3700000000001,24.91,8.2
ORD1062,2024-03-03,B,Mexico City,Returning,Male,Gaming,393.46,2,Cash,786.92,590.88,196.03999999999996,24.91,5.8
ORD1063,2024-03-04,B,Monterrey,New,Male,Smartphone,1181.76,1,Cash,1181.76,887.35,294.40999999999997,24.91,4.6
ORD1064,2024-03-05,B,Monterrey,New,Female,Accessories,448.47,4,Cash,1793.88,1346.98,446.9000000000001,24.91,8.7
ORD1065,2024-03-06,B,Guadalajara,Returning,Male,Laptop,1242.79,1,Credit Card,1242.79,933.18,309.61,24.91,7.9
ORD1066,2024-03-07,B,Mexico City,Returning,Female,TV,664.42,3,Cash,1993.26,1496.69,496.56999999999994,24.91,4.3
ORD1067,2024-03-08,B,Mexico City,Returning,Female,Accessories,1017.95,3,Credit Card,3053.85,2293.05,760.7999999999997,24.91,6.2
ORD1068,2024-03-09,B,Monterrey,New,Female,TV,188.53,1,Cash,188.53,141.56,46.97,24.91,9.7
ORD1069,2024-03-10,A,Mexico City,Returning,Female,Smartphone,954.6,1,Credit Card,954.6,716.78,237.82000000000005,24.91,7.0
